;date;justif_nb;price
0;20230703;1;3.20
1;20230703;2;6.20
2;20230703;3;4.20
3;20230703;4;5.20
4;20230704;1;6.20
5;20230704;2;3.20
6;20230704;3;6.20
7;20230704;4;4.20
8;20230705;1;5.20
9;20230705;2;4.20
10;20230705;3;4.20
11;20230705;4;6.20
12;20230706;1;3.20
13;20230706;2;5.20
14;20230706;3;3.20
15;20230707;1;3.20
16;20230707;2;3.20
17;20230707;3;4.20
18;20230707;4;4.20
19;20230707;5;5.20
20;20230710;1;4.20
21;20230710;2;4.20
22;20230710;3;9.20
23;20230711;1;6.20
24;20230711;2;6.20
25;20230711;3;5.20
26;20230711;4;5.20
27;20230712;1;5.20
28;20230712;2;3.20
29;20230712;3;6.20
30;20230713;1;6.20
31;20230713;2;5.20
32;20230713;3;6.20
33;20230713;4;6.20
34;20230717;1;3.20
35;20230717;2;4.20
36;20230717;3;3.20
37;20230717;4;5.20
38;20230718;1;6.20
39;20230718;2;6.20
40;20230718;3;3.20
41;20230718;4;6.20
42;20230719;1;5.20
43;20230719;2;6.20
44;20230719;3;5.20
45;20230719;4;5.20
46;20230720;1;4.20
47;20230720;2;3.20
48;20230720;3;6.20
49;20230721;1;3.20
50;20230721;2;9.20
51;20230721;3;4.70
52;20230724;1;3.20
53;20230724;2;6.20
54;20230724;3;3.20
55;20230725;1;5.20
56;20230725;2;4.20
57;20230726;1;6.20
58;20230726;2;7.70
59;20230726;3;9.20
60;20230727;1;5.20
61;20230727;2;3.20
62;20230727;3;5.20
63;20230727;4;4.20
64;20230728;1;4.20
65;20230728;2;4.70
